startdate,enddate,ticker
31-12-2019,31-03-2020,XCHANGING.NS
31-03-2020,30-06-2020,20MICRONS.NS
31-03-2020,30-06-2020,3IINFOTECH.NS
31-03-2020,30-06-2020,3MINDIA.NS
31-03-2020,30-06-2020,5PAISA.NS
31-03-2020,30-06-2020,A2ZINFRA.NS
31-03-2020,30-06-2020,AARTIDRUGS.NS
31-03-2020,30-06-2020,AARTIIND.NS
31-03-2020,30-06-2020,AARVEEDEN.NS
31-03-2020,30-06-2020,ABAN.NS
31-03-2020,30-06-2020,ABB.NS
31-03-2020,30-06-2020,ABBOTINDIA.NS
31-03-2020,30-06-2020,ABCAPITAL.NS
31-03-2020,30-06-2020,ABFRL.NS
31-03-2020,30-06-2020,ABMINTLTD.NS
31-03-2020,30-06-2020,ACC.NS
31-03-2020,30-06-2020,ACCELYA.NS
31-03-2020,30-06-2020,ACE.NS
31-03-2020,30-06-2020,ADANIPORTS.NS
31-03-2020,30-06-2020,ADANIPOWER.NS
31-03-2020,30-06-2020,ADANITRANS.NS
31-03-2020,30-06-2020,ADFFOODS.NS
31-03-2020,30-06-2020,ADHUNIKIND.NS
31-03-2020,30-06-2020,ADORWELD.NS
31-03-2020,30-06-2020,ADSL.NS
31-03-2020,30-06-2020,ADVANIHOTR.NS
31-03-2020,30-06-2020,ADVENZYMES.NS
31-03-2020,30-06-2020,AEGISCHEM.NS
31-03-2020,30-06-2020,AGARIND.NS
31-03-2020,30-06-2020,AGCNET.NS
31-03-2020,30-06-2020,AHLUCONT.NS
31-03-2020,30-06-2020,AHLWEST.NS
31-03-2020,30-06-2020,AIAENG.NS
31-03-2020,30-06-2020,AJANTPHARM.NS
31-03-2020,30-06-2020,AKSHARCHEM.NS
31-03-2020,30-06-2020,AKSHOPTFBR.NS
31-03-2020,30-06-2020,AKZOINDIA.NS
31-03-2020,30-06-2020,ALANKIT.NS
31-03-2020,30-06-2020,ALBERTDAVD.NS
31-03-2020,30-06-2020,ALCHEM.NS
31-03-2020,30-06-2020,ALEMBICLTD.NS
31-03-2020,30-06-2020,ALICON.NS
31-03-2020,30-06-2020,ALKALI.NS
31-03-2020,30-06-2020,ALKEM.NS
31-03-2020,30-06-2020,ALKYLAMINE.NS
31-03-2020,30-06-2020,ALLCARGO.NS
31-03-2020,30-06-2020,ALLSEC.NS
31-03-2020,30-06-2020,ALMONDZ.NS
31-03-2020,30-06-2020,ALPA.NS
31-03-2020,30-06-2020,ALPSINDUS.NS
31-03-2020,30-06-2020,AMARAJABAT.NS
31-03-2020,30-06-2020,AMBIKCO.NS
31-03-2020,30-06-2020,AMBUJACEM.NS
31-03-2020,30-06-2020,AMDIND.NS
31-03-2020,30-06-2020,AMRUTANJAN.NS
31-03-2020,30-06-2020,ANANTRAJ.NS
31-03-2020,30-06-2020,ANDHRACEMT.NS
31-03-2020,30-06-2020,ANDHRSUGAR.NS
31-03-2020,30-06-2020,ANIKINDS.NS
31-03-2020,30-06-2020,ANSALAPI.NS
31-03-2020,30-06-2020,ANSALHSG.NS
31-03-2020,30-06-2020,ANTGRAPHIC.NS
31-03-2020,30-06-2020,APARINDS.NS
31-03-2020,30-06-2020,APCL.NS
31-03-2020,30-06-2020,APCOTEXIND.NS
31-03-2020,30-06-2020,APEX.NS
31-03-2020,30-06-2020,APLAPOLLO.NS
31-03-2020,30-06-2020,APLLTD.NS
31-03-2020,30-06-2020,APOLLOHOSP.NS
31-03-2020,30-06-2020,APOLLOTYRE.NS
31-03-2020,30-06-2020,APOLSINHOT.NS
31-03-2020,30-06-2020,APTECHT.NS
31-03-2020,30-06-2020,ARCHIDPLY.NS
31-03-2020,30-06-2020,ARCHIES.NS
31-03-2020,30-06-2020,ARCOTECH.NS
31-03-2020,30-06-2020,ARIES.NS
31-03-2020,30-06-2020,ARIHANT.NS
31-03-2020,30-06-2020,ARIHANTSUP.NS
31-03-2020,30-06-2020,ARMANFIN.NS
31-03-2020,30-06-2020,AROGRANITE.NS
31-03-2020,30-06-2020,ARROWGREEN.NS
31-03-2020,30-06-2020,ARSHIYA.NS
31-03-2020,30-06-2020,ARSSINFRA.NS
31-03-2020,30-06-2020,ARVIND.NS
31-03-2020,30-06-2020,ARVSMART.NS
31-03-2020,30-06-2020,ASAHIINDIA.NS
31-03-2020,30-06-2020,ASAHISONG.NS
31-03-2020,30-06-2020,ASAL.NS
31-03-2020,30-06-2020,ASHAPURMIN.NS
31-03-2020,30-06-2020,ASHIANA.NS
31-03-2020,30-06-2020,ASHIMASYN.NS
31-03-2020,30-06-2020,ASHOKA.NS
31-03-2020,30-06-2020,ASHOKLEY.NS
31-03-2020,30-06-2020,ASIANPAINT.NS
31-03-2020,30-06-2020,ASIANTILES.NS
31-03-2020,30-06-2020,ASPINWALL.NS
31-03-2020,30-06-2020,ASTEC.NS
31-03-2020,30-06-2020,ASTRAL.NS
31-03-2020,30-06-2020,ASTRAMICRO.NS
31-03-2020,30-06-2020,ASTRAZEN.NS
31-03-2020,30-06-2020,ATFL.NS
31-03-2020,30-06-2020,ATLANTA.NS
31-03-2020,30-06-2020,ATUL.NS
31-03-2020,30-06-2020,ATULAUTO.NS
31-03-2020,30-06-2020,AUBANK.NS
31-03-2020,30-06-2020,AURIONPRO.NS
31-03-2020,30-06-2020,AUROPHARMA.NS
31-03-2020,30-06-2020,AUSOMENT.NS
31-03-2020,30-06-2020,AUTOAXLES.NS
31-03-2020,30-06-2020,AUTOIND.NS
31-03-2020,30-06-2020,AVADHSUGAR.NS
31-03-2020,30-06-2020,AVANTIFEED.NS
31-03-2020,30-06-2020,AVTNPL.NS
31-03-2020,30-06-2020,AXISBANK.NS
31-03-2020,30-06-2020,AXISCADES.NS
31-03-2020,30-06-2020,AYMSYNTEX.NS
31-03-2020,30-06-2020,BAGFILMS.NS
31-03-2020,30-06-2020,BAJAJ-AUTO.NS
31-03-2020,30-06-2020,BAJAJELEC.NS
31-03-2020,30-06-2020,BAJAJFINSV.NS
