startdate,enddate,ticker,changelist
31-03-2020,30-06-2020,ARCHIDPLY.NS,1.639342724524056
31-03-2020,30-06-2020,ARCHIES.NS,-7.7519382137309885
31-03-2020,30-06-2020,ARCOTECH.NS,-40.00000272478376
31-03-2020,30-06-2020,ARIES.NS,19.759569186281258
31-03-2020,30-06-2020,ARIHANT.NS,3.4920586480034723
31-03-2020,30-06-2020,ARIHANTSUP.NS,-29.464285714285715
31-03-2020,30-06-2020,ARMANFIN.NS,22.220968325052826
31-03-2020,30-06-2020,AROGRANITE.NS,4.166663512981853
31-03-2020,30-06-2020,ARROWGREEN.NS,4.171011403915972
31-03-2020,30-06-2020,ARSHIYA.NS,1.5873000254767275
31-03-2020,30-06-2020,ARSSINFRA.NS,-20.67901372655168
31-03-2020,30-06-2020,ARVIND.NS,-3.7202382641855087
31-03-2020,30-06-2020,ARVSMART.NS,13.942931534049613
31-03-2020,30-06-2020,ASAHIINDIA.NS,21.9147147037412
31-03-2020,30-06-2020,ASAHISONG.NS,44.47780525977617
31-03-2020,30-06-2020,ASAL.NS,-10.0
31-03-2020,30-06-2020,ASHAPURMIN.NS,80.45852162154621
31-03-2020,30-06-2020,ASHIANA.NS,18.470304553134447
31-03-2020,30-06-2020,ASHIMASYN.NS,14.285711212649938
31-03-2020,30-06-2020,ASHOKA.NS,7.323020552371882
31-03-2020,30-06-2020,ASHOKLEY.NS,55.69105139490374
31-03-2020,30-06-2020,ASIANPAINT.NS,13.85101221781732
31-03-2020,30-06-2020,ASIANTILES.NS,42.819908105931574
31-03-2020,30-06-2020,ASPINWALL.NS,0.5458065873233431
31-03-2020,30-06-2020,ASTEC.NS,36.80641183723798
31-03-2020,30-06-2020,ASTRAL.NS,18.18749745686849
31-03-2020,30-06-2020,ASTRAMICRO.NS,23.43267698587331
31-03-2020,30-06-2020,ASTRAZEN.NS,20.711695449091533
31-03-2020,30-06-2020,ATFL.NS,33.92822976024491
31-03-2020,30-06-2020,ATLANTA.NS,-30.051810706412784
31-03-2020,30-06-2020,ATUL.NS,35.42039731408768
31-03-2020,30-06-2020,ATULAUTO.NS,-3.7677019243537537
31-03-2020,30-06-2020,AUBANK.NS,27.123814174107142
31-03-2020,30-06-2020,AURIONPRO.NS,27.224197561132392
31-03-2020,30-06-2020,AUROPHARMA.NS,1.3544319249406644
31-03-2020,30-06-2020,AUSOMENT.NS,38.243247367240286
31-03-2020,30-06-2020,AUTOAXLES.NS,27.02016203576906
31-03-2020,30-06-2020,AUTOIND.NS,53.246753246753244
31-03-2020,30-06-2020,AVADHSUGAR.NS,-5.099893324857298
31-03-2020,30-06-2020,AVANTIFEED.NS,-3.535594839942666
31-03-2020,30-06-2020,AVTNPL.NS,11.75742529850477
31-03-2020,30-06-2020,AXISBANK.NS,7.134146341463414
31-03-2020,30-06-2020,AXISCADES.NS,1.8572764807476
31-03-2020,30-06-2020,AYMSYNTEX.NS,-0.7936537971601397
31-03-2020,30-06-2020,BAGFILMS.NS,-10.526314468595086
31-03-2020,30-06-2020,BAJAJ-AUTO.NS,2.2033557560713413
31-03-2020,30-06-2020,BAJAJELEC.NS,23.85786802030457
31-03-2020,30-06-2020,BAJAJFINSV.NS,-0.06760942717028381
31-03-2020,30-06-2020,BAJAJHIND.NS,-32.236840000112934
31-03-2020,30-06-2020,BAJAJHLDNG.NS,-5.583329634232954
31-03-2020,30-06-2020,BAJFINANCE.NS,14.609962279853953
31-03-2020,30-06-2020,BALAJITELE.NS,-6.907894736842106
31-03-2020,30-06-2020,BALAMINES.NS,56.359317910081984
31-03-2020,30-06-2020,BALAXI.NS,450.62203886363557
31-03-2020,30-06-2020,BALKRISHNA.NS,-36.34204226032329
31-03-2020,30-06-2020,BALKRISIND.NS,16.277110394703815
31-03-2020,30-06-2020,BALMLAWRIE.NS,-10.44642584664481
31-03-2020,30-06-2020,BALPHARMA.NS,0.11286509688857613
31-03-2020,30-06-2020,BALRAMCHIN.NS,10.226443114808294
31-03-2020,30-06-2020,BANARISUG.NS,24.553555961442544
31-03-2020,30-06-2020,BANCOINDIA.NS,17.350991356451782
31-03-2020,30-06-2020,BANG.NS,-8.951406998945348
31-03-2020,30-06-2020,BANKBARODA.NS,-12.951808959345207
31-03-2020,30-06-2020,BANKINDIA.NS,-15.968064358589473
31-03-2020,30-06-2020,BANSWRAS.NS,-16.37141328733885
31-03-2020,30-06-2020,BASF.NS,22.67796403270657
31-03-2020,30-06-2020,BASML.NS,-24.491526716846533
31-03-2020,30-06-2020,BATAINDIA.NS,1.9056658014065162
